time_s,current_Acm2,charge_Ccm2,T1_C,T2_C,T3_C,T4_C,T5_C,V1_V,V2_V,V3_V,V4_V,V5_V,ice1,ice2,ice3,ice4,ice5,E1_J,E2_J,E3_J,E4_J,E5_J,leftEndplate_C,rightEndplate_C
0,0,0,-30,-30,-30,-30,-30,1.26757744798628,1.26757744798628,1.26757744798628,1.26757744798628,1.26757744798628,0,0,0,0,0,0,0,0,0,0,-30,-30
0.5,0.0025,0.000625,-28.9521863421406,-28.4193644751063,-28.386096744868,-28.4196558209346,-28.9564997890286,0.859524655274898,0.8586124487836,0.858551227363583,0.858610811846559,0.85952649976008,0.000131867958647906,0.000130922471744227,0.000130906796159634,0.000130922480148293,0.000131875968328078,12.5,12.5,12.5,12.5,12.4448505401071,-29.9926378530436,-29.9926688586396
1,0.005,0.00250000000000001,-27.9706529881579,-26.9039104896603,-26.7868287707169,-26.9049051471149,-27.978493880537,0.822512054565862,0.820681922624409,0.820468912468082,0.820676702194211,0.822507348274683,0.00051501655000112,0.000507731374295153,0.000507406841979269,0.000507732064340373,0.000515071155019748,25,25,25,25,24.8897010802141,-29.9713288216973,-29.9714444698705
1.5,0.0075,0.00562500000000002,-27.0463292640669,-25.4475026979303,-25.2138336740764,-25.4494243467859,-27.0570960492905,0.797938193683345,0.795253613197962,0.794839410185053,0.795243506791522,0.797921373493885,0.00113090262188095,0.00110680079509026,0.00110505658013377,0.00110680940386531,0.00113106686461969,37.5,37.5,37.5,37.5,37.3345516203212,-29.9371270706823,-29.9373706827274
2,0.01,0.01,-26.171603737683,-24.0457236867121,-23.6745950773337,-24.0486742754986,-26.1848293457576,0.778737567351195,0.775267997046649,0.774628879454343,0.775252064711273,0.778705311209464,0.0019637452993646,0.00190752613922415,0.00190200669280858,0.00190756609901235,0.00196388044827099,50,50,50,50,49.7794021604283,-29.8909563067053,-29.8913632256983
2.5,0.0125,0.015625,-25.3401185646551,-22.6951549365102,-22.1737786843856,-22.6991594028222,-25.3554350685879,0.762705380873055,0.758516366379708,0.757643421614274,0.75849400935542,0.762656022116596,0.00298072692564483,0.00288854846045455,0.00287585034927286,0.00288479450379361,0.00296086447389781,62.5,62.5,62.5,62.5,62.2242527005353,-29.8336303514891,-29.8342296619278
3,0.015,0.0224999999999999,-24.5465752807152,-21.3929725290504,-20.7141240294833,-21.398008626594,-24.5636888021753,0.748856127166612,0.744005558298518,0.742897865464424,0.743976516975444,0.748789262392665,0.00409618339669673,0.00398445442301922,0.00396269286834484,0.00396418637800196,0.00404036532605888,75,75,75,75,74.6691032406424,-29.7658708444036,-29.7666866517079
3.5,0.0175,0.0306249999999998,-23.7865581438452,-20.1367164071472,-19.2970394958986,-20.1427345151237,-23.8052308795073,0.736653309587927,0.731190143617761,0.729850712457205,0.731154493758036,0.736569529634322,0.00527717918853458,0.005146317910299,0.00511399335025862,0.00510445768666596,0.00517795041957011,87.5,87.5,87.5,87.5,87.1139537807495,-29.6883219240251,-29.6893743209783
4,0.02,0.0399999999999996,-23.0563784471633,-18.9241587822771,-17.9230064066681,-18.9310948520564,-23.0764156569321,0.725762046546986,0.719726476871281,0.718159972054448,0.719684594156212,0.72566271791722,0.0065180058478792,0.00636644712865141,0.00632221699385101,0.00629911567796938,0.00636918191277767,100,100,100,100,99.5588043208565,-29.6015624882232,-29.602868294693
4.5,0.0225,0.0506249999999995,-22.3529421544458,-17.7532297657787,-16.5918573107185,-17.7610136533492,-22.374182653832,0.715950349231851,0.70937481554905,0.707586400565621,0.709327323201731,0.715837430664006,0.00781669629506806,0.0076426888056622,0.00758537857003035,0.00754637186554463,0.00761297914907375,112.5,112.5,112.5,112.5,112.003654860964,-29.5061162724119,-29.507689609795
5,0.025,0.0624999999999993,-21.673639744665,-16.6219758864609,-15.3029708249656,-16.6305365918587,-21.6959488751201,0.707044209074046,0.69995483720549,0.697949692311601,0.699902548229514,0.70692009416065,0.00917194494282185,0.00897344772214456,0.00890198280299056,0.00884499749756591,0.00890892048444299,125,125,125,125,124.448505401071,-29.4024600778245,-29.404312821736
5.5,0.0275,0.0756250000029764,-21.0162557002462,-15.5285372708169,-14.055410298605,-15.5378061219424,-21.0395200648024,0.698905332674074,0.691329153793844,0.689117118785641,0.691273461909249,0.69877271653911,0.0105828730348891,0.0103574213163191,0.0102707539948085,0.0101940458777771,0.0102569596186385,137.5,137.5,137.5,137.5,136.893355941178,-29.2910304876051,-29.2931726296542
6,0.03,0.0900000000049845,-20.3788944685471,-14.4711351617643,-12.8480236109464,-14.481047633297,-20.4030179490983,0.691423116039628,0.683392989599344,0.680977948751414,0.683334865154099,0.691285977648459,0.0120490408028743,0.0117936399346599,0.011690692417632,0.0115928880825355,0.011657436860015,150,150,150,150,149.338206481285,-29.1722294468507,-29.1746693872816
6.5,0.0325,0.105625000004984,-19.7599215621257,-13.4480647689218,-11.6795152317737,-13.4585613916305,-19.7848222653265,0.684519109448524,0.676046217352662,0.673432482105034,0.675986623491053,0.684380632239018,0.0135704849619956,0.0132815550035443,0.0131611547528557,0.0130413068126834,0.0131111310785369,162.5,162.5,162.5,162.5,161.783057021392,-29.0464287195968,-29.0491735076652
7,0.035,0.122500000004984,-19.1579154208223,-12.4576909835168,-10.5484992268621,-12.4687177048393,-19.1835232207865,0.678109774664511,0.66920549171003,0.666397885939365,0.669145429474694,0.677972610860505,0.0151478093233617,0.0148210718194823,0.0146818566013058,0.0145395289039582,0.0146193015744725,175,175,175,175,174.227907561499,-28.9139736021968,-28.9170291349984
7.5,0.0375,0.140625000004984,-18.5716287040703,-11.4984458927689,-9.45353843799916,-11.5099540877489,-18.5978833184143,0.672123854827576,0.662800113116275,0.659803816080268,0.662740579382773,0.671990818417562,0.016781930020845,0.0164124323034671,0.0162527819986357,0.0160880863752175,0.0161788256567522,187.5,187.5,187.5,187.5,186.672758101606,-28.7751859770033,-28.7785571652908
8,0.04,0.160000000004983,-17.999957995689,-10.5688271215467,-8.39317354835612,-10.5807733909714,-18.0268074279718,0.666501554162078,0.656769716906638,0.653590185052793,0.656711694355922,0.666375460918129,0.0184731784106608,0.0180559700934782,0.0178740368076576,0.0176875670581937,0.0177786327193915,200,200,200,200,199.117608641713,-28.6303668456822,-28.6340577532543
8.5,0.0425,0.180625000004984,-17.4419193203211,-9.66739616340072,-7.365944358143,-9.67974199867649,-17.4693186073698,0.661192464758742,0.651062494636122,0.647705380388243,0.651006946392192,0.661076074949516,0.0202211090093338,0.0197521800702359,0.0195459393228745,0.0193387088234294,0.0194094101338652,212.5,212.5,212.5,212.5,211.56245918182,-28.4797984482344,-28.4838124099494
9,0.045,0.202500000004985,-16.8966283714263,-8.79277658952788,-6.37040527567751,-8.80548798158901,-16.9245385641545,0.656154246448134,0.645633765904652,0.642104818511472,0.645581642023631,0.656050265407526,0.0220242146259032,0.0215018039857229,0.0212691141329244,0.0210424884107493,0.021064702624911,225,225,225,225,224.007309721927,-28.3237460455867,-28.3280857679929
9.5,0.0475,0.225625000004987,-16.3632848695565,-7.94365255105646,-5.40513689825843,-7.95669958905398,-16.3916723139087,0.651393527547753,0.640479490534947,0.636784766941568,0.64043174007133,0.651308396120285,0.0238716649448568,0.0233059077639661,0.0230445791245363,0.0228002010307247,0.0227399150611813,237.5,237.5,237.5,237.5,236.452160262034,-28.1624594308846,-28.1671270790718
10,0.05,0.250000000004988,-15.8411779197265,-7.11879118424741,-4.46877880700737,-7.13214774863155,-15.8700153324093,0.647728957095238,0.636342327538773,0.63249552637901,0.636299877609948,0.647747786345834,0.0257510462941872,0.0251659624598668,0.0248738347712305,0.0246135438208284,0.0244315592378675,250,250,250,250,248.897010802141,-27.9961743012386,-28.0011715830653
10.5,0.0525,0.27562500000499,-15.3297264943638,-6.31712295990815,-3.56012054890653,-6.33076691776779,-15.3589983412913,0.646543192696984,0.634799899585336,0.630831914467242,0.634763637440945,0.646883734432961,0.0276586809861308,0.027083927649209,0.0267589559222434,0.0264847015982924,0.0261367272432241,262.5,262.5,262.5,262.5,261.341861342248,-27.8251139850631,-27.8304422800746
11,0.055,0.302500000004991,-14.8284786484891,-5.53777896696573,-2.6781508055393,-5.55169293128836,-14.8581818037833,0.648938838953026,0.637228253685808,0.633186977365836,0.637199065581398,0.649530614969192,0.0295910549377853,0.0290623349004709,0.0287026858401626,0.028416432117589,0.0278525687197895,275,275,275,275,273.786711882355,-27.6494914644063,-27.6551520198569
11.5,0.0575,0.330625000004993,-14.3371115309884,-4.78004968871875,-1.82202298801798,-4.79421864865219,-14.367206675059,0.655701682269931,0.643961591846943,0.639901853590676,0.643940445091933,0.65570381231197,0.0315440534135247,0.0311043670888181,0.0307085305412096,0.0304121458902474,0.02957579713489,287.5,287.5,287.5,287.5,286.231562422463,-27.4695113097558,-27.475505123997
12,0.06,0.360000000004994,-13.8553423048062,-4.04328166653636,-0.990950919752265,-4.05768917520453,-13.8857984220284,0.665772740632761,0.654097703102061,0.650067274211085,0.654085741375419,0.665777680963262,0.0335130757699508,0.0332139248559168,0.0327800359604013,0.0324759710169679,0.0313028439909132,300,300,300,300,298.67641296257,-27.2853711017753,-27.2916985503168
12.5,0.0625,0.390625000007395,-13.3828582020603,-3.32679448776855,-0.184803222403673,-3.34142530984337,-13.4136402772208,0.677665891698495,0.666193842225154,0.662484399679747,0.66619240621643,0.677075983491771,0.0354936274179408,0.0353956650658656,0.0330395921617901,0.0346068279255548,0.0330353814844186,312.5,312.5,312.5,312.5,311.121263502677,-27.0972614957897,-27.1039226080094
13,0.065,0.422500000007396,-12.9192803569064,-2.63020255337739,0.593849731358148,-2.64503760528896,-12.9503235804488,0.68952208256843,0.679007784028166,0.677866780299692,0.679018039335605,0.688228574652822,0.0374869624873856,0.0376531648994269,0.0209388093161564,0.0367869742029527,0.034779480334841,325,325,325,325,323.566114042784,-26.9053656369783,-26.9123596868851
13.5,0.0675,0.455625000007398,-12.4641940929405,-1.95266616732181,1.35205806665016,-1.96768306937497,-12.4954442003773,0.700638129693461,0.691744565068104,0.695201641160684,0.691767556311435,0.698714608477252,0.0394966409015251,0.0399664228106783,0.012700373053086,0.0390155502394368,0.036535812812398,337.5,337.5,337.5,337.5,336.010964582891,-26.7098584857086,-26.717183921571
14,0.07,0.4900000000074,-12.0171630722377,-1.29304276693415,2.08991573240729,-1.30821897639635,-12.0485772903809,0.710839989115277,0.703981671179418,0.712229752675033,0.704018689858483,0.708364484591956,0.0415242954683483,0.0423287999622125,0.00770316614154852,0.0412943222505749,0.0383048533908314,350,350,350,350,348.455815122998,-26.5109065823548,-26.5185612048768
14.5,0.0725,0.525625000007402,-11.5777560279202,-0.650455956807377,2.80770488348151,-0.665707299292023,-11.6092996896934,0.720137812447513,0.715555349866016,0.728139032437273,0.71558439336496,0.71717667239124,0.043570728623348,0.0446075797800714,0.00467220664888838,0.0435993613498216,0.0400883893967605,362.5,362.5,362.5,362.5,360.900665663105,-26.3086680248513,-26.3166491371335
15,0.075,0.562500000007404,-11.1457100004608,-0.0285624391494252,3.50579025590673,-0.0414820216369094,-11.1772544867648,0.728613956559761,0.728367114627879,0.74275848911889,0.727258519508018,0.7252186612768,0.0456362816388978,0.0362900992331126,0.00283383636612732,0.0401342452589057,0.0418891015336372,375,375,375,375,373.345516203212,-26.1032933368035,-26.1115974421245
15.5,0.0775,0.600625000007404,-10.7210132039727,0.576720358129762,4.18385507623117,0.562561266187117,-10.7524830349478,0.736370766875652,0.743677540750877,0.756125780010187,0.742170572008474,0.732579739231626,0.0477210884724593,0.022123291723556,0.00171880864050258,0.0249077847105517,0.0437098707558993,387.5,387.5,387.5,387.5,385.790366743319,-25.894929975833,-25.9035514361731
16,0.08,0.640000000007406,-10.3030530419113,1.16978703838913,4.84331830307434,1.15467679405174,-10.3345573688448,0.743507790671942,0.75824796987875,0.768346561444697,0.756967985313875,0.739348462427845,0.0498252871624733,0.0134186376849755,0.00104251016439485,0.015108390098023,0.0455534949588632,400,400,400,400,398.235217283426,-25.6837187574204,-25.6926528182442
16.5,0.0825,0.680625000007409,-9.89130777799647,1.74994516950051,5.48572217088423,1.73452440857028,-9.92288064942346,0.750114906037612,0.771565098840315,0.779541300162924,0.770420576436732,0.745605611494688,0.0519492216236749,0.00813881556867891,0.000632314381455659,0.00916370395007146,0.0474228134807833,412.5,412.5,412.5,412.5,410.680067823533,-25.4697900976337,-25.479033065864
17,0.085,0.722500000007412,-9.4854006157463,2.31718256574413,6.11216810022381,2.30204127680867,-9.51701252510634,0.756269450055689,0.783588434038314,0.789823917464028,0.782356824579643,0.751421483036148,0.0540935851763127,0.00493644129265606,0.000383518067916816,0.005558067537306,0.0493210090880225,425,425,425,425,423.12491836364,-25.2532664302767,-25.2628146765852
17.5,0.0875,0.765625000007415,-9.08502506520523,2.87185550490989,6.72351713339521,2.85726554034227,-9.11661329292974,0.762036139499235,0.794378065254121,0.799295225121725,0.793013883365763,0.756855402556005,0.056259531503349,0.0029941029911828,0.000232615466536553,0.00337113836711761,0.0512519118342899,437.5,437.5,437.5,437.5,435.569768903747,-25.0342637563819,-25.0441130200459
18,0.09,0.810000000007414,-8.68990858803886,3.41447545279811,7.32047966810148,3.39998463105007,-8.7214197980507,0.767468188734893,0.804123102443337,0.808043065508192,0.802619011686962,0.761956201008385,0.0584487651156962,0.00181601527683984,0.000141088413492658,0.00204469879394767,0.0532148786480793,450,450,450,450,448.014619443854,-24.8128924257414,-24.823037630231
18.5,0.0925,0.855625000007417,-8.2997966928167,3.94564639811318,7.90398991509062,3.93035052439615,-8.33126712163067,0.772608807561846,0.810500302576572,0.808310110417538,0.810593287902481,0.76676394349513,0.0606636187547807,0.00110146895661237,8.55744495003821e-05,0.00124017252270876,0.0552064925193342,462.5,462.5,462.5,462.5,460.459469983961,-24.5892575643595,-24.59969355186
19,0.095,0.90250000000742,-7.91439987330182,4.46708681010847,8.47576717547554,4.45120894347303,-7.94587514041962,0.777492678764014,0.807177752724735,0.804998570166401,0.807294611392323,0.771310923255706,0.0629071295119861,0.000668074702020284,5.19035280180273e-05,0.000752202668616811,0.057229664245223,475,475,475,475,472.904320524069,-24.3634591440747,-24.3741815315708
19.5,0.0975,0.950625000007422,-7.53336309710193,4.97969365731836,9.03658629158986,4.96355450366838,-7.56484970432786,0.78214745632564,0.803758598765248,0.801676470714423,0.803890167545755,0.775622880352895,0.0651831303511819,0.000405207803199118,3.14810821347791e-05,0.00045623399597232,0.0592880026303948,487.5,487.5,487.5,487.5,485.349171064176,-24.135591115382,-24.1465959438268
