time_s,current_Acm2,charge_Ccm2,T1_C,T2_C,T3_C,T4_C,T5_C,V1_V,V2_V,V3_V,V4_V,V5_V,ice1,ice2,ice3,ice4,ice5,E1_J,E2_J,E3_J,E4_J,E5_J,leftEndplate_C,rightEndplate_C
0,0,0,-30,-30,-30,-30,-30,1.26757744798628,1.26757744798628,1.26757744798628,1.26757744798628,1.26757744798628,0,0,0,0,0,0,0,0,0,0,-30,-30
0.5,0,0,-28.9529784675931,-28.4205550162952,-28.3872910453311,-28.4205550163305,-28.9529784676418,1.2666571865274,1.26618460716353,1.26615272258753,1.26618265967045,1.26665216422471,0.000123748868964397,0.00012280321098723,0.000122787524975918,0.000122803083198553,0.000123748605514132,12.5,12.5,12.5,12.5,12.5,-29.992641450597,-29.9926414505971
1,0,0,-27.9739368290119,-26.9088833280188,-26.7918478737743,-26.9088833285731,-27.9739368300544,1.2657998007127,1.26485267438083,1.26474360910783,1.26484702303305,1.26578516081146,0.000453909385590212,0.000446613412182707,0.000446287979629032,0.000446611399382219,0.000453903493221882,25,25,25,25,25,-29.9713586663931,-29.9713586663989
1.5,0,0,-27.0538298452931,-25.4589381864799,-25.2254573728201,-25.4589381879583,-27.0538298492355,1.26499483525981,1.26357544402542,1.26336047030267,1.26356545766298,1.26496922779433,0.000936667831271476,0.000912466154139477,0.000910710551016025,0.000912460984096544,0.000936644366949675,37.5,37.5,37.5,37.5,37.5,-29.9372293127746,-29.9372293128129
2,0,0,-26.1850320189394,-24.0663226698881,-23.6956861338784,-24.0663226706383,-26.185032026504,1.26423498797554,1.26234888659885,1.26200988207611,1.26233430099468,1.26419824846652,0.00152972829047526,0.00147302677438049,0.00146743948499855,0.0014730257480012,0.00152967965578847,50,50,50,50,50,-29.8912002522852,-29.8912002524034
2.5,0,0,-25.3611593407646,-22.7276132886186,-22.2072504369446,-22.7276132828274,-25.3611593492126,1.26351444491477,1.26116992221716,1.26069593704809,1.26115063217329,1.26346685301473,0.00219921979873944,0.0020895308492998,0.00207611506489434,0.00208955935960628,0.00219915597070054,62.5,62.5,62.5,62.5,62.5,-29.8341079058123,-29.8341079060456
3,0,0,-24.5768829267558,-21.4399671124145,-20.7629151619841,-21.4399670883102,-24.576882928265,1.26282846200292,1.26003600920639,1.2594210269494,1.26001199805059,1.26277045131044,0.00291784373491539,0.00272998650442354,0.00270294681379051,0.00273009741295669,0.00291780323261916,75,75,75,75,75,-29.7666957234934,-29.7666957238048
3.5,0,0,-23.8277543887621,-20.2008954039459,-19.3640939293039,-20.2008953424157,-23.8277543694411,1.26217312215777,1.25894492860212,1.2581863652171,1.25891623713803,1.2621051679082,0.00366357121291925,0.0033679102233967,0.00331953046458214,0.00336819278794309,0.00366362930229116,87.5,87.5,87.5,87.5,87.5,-29.6896289076025,-29.6896289078054
4,0,0,-23.1100514531184,-19.0081345121941,-18.0112566670313,-19.00813438577,-23.1100513924801,1.26154516494835,1.25789466589061,1.25699234214454,1.25786137468987,1.26146774159316,0.00441864712307493,0.00398134105651442,0.00390191456829027,0.00398192934453169,0.00441892176556718,100,100,100,100,100,-29.6035066736401,-29.6035066733128
4.5,0,0,-22.4206467353185,-17.8595735328263,-16.7042111890853,-17.8595733050194,-22.4206466060573,1.26094185796922,1.25688334562807,1.25583877041529,1.25684556314683,1.2608554239966,0.00516879442670712,0.00455203115981905,0.00442981943122846,0.00455311190242839,0.00516945054933447,112.5,112.5,112.5,112.5,112.5,-29.5088722801878,-29.5088722785835
5,0,0,-21.7568978145956,-16.753214077271,-15.4423010098759,-16.7532137022134,-21.7568975825561,1.2603608953519,1.25590919507965,1.25472505770136,1.25586704906832,1.26026588857258,0.00590256090310549,0.00506476338115139,0.00488596536213355,0.00506658322874374,0.00590381346277214,125,125,125,125,125,-29.4062213269447,-29.406221322901
5.5,0,0,-21.1165569960051,-15.6871484323385,-14.2245462398676,-15.6871478546668,-21.1165566202746,1.25980031685522,1.25497052430004,1.25365032966808,1.25492415540558,1.25969715360105,0.00661078222929913,0.00550677992672628,0.00525550158729898,0.00550965204724095,0.00661289841002563,137.5,137.5,137.5,137.5,137.5,-29.2960085334391,-29.2960085252897
6,0,0,-20.4976980664937,-14.6595480842812,-13.0497454250756,-14.6595472392518,-20.4976974995745,1.2592584431253,1.25406571546531,1.25261351892576,1.25401527241566,1.25914751883386,0.00728614164645403,0.00586730925241825,0.00552552870034193,0.00587161919191387,0.00728944241506361,150,150,150,150,150,-29.1786532430767,-29.1786532285664
6.5,0,0,-19.8986569737511,-13.6686576558398,-11.9165498946634,-13.6686564696355,-19.8986561617929,1.25873382362971,1.25319321706492,1.25161342999246,1.25313885303714,1.25861551385742,0.00792280927680893,0.00613717699723614,0.0056847032149328,0.00614338773510888,0.00792767044764268,162.5,162.5,162.5,162.5,162.5,-29.0545439478554,-29.0545439240583
7,0,0,-19.3179839669232,-12.7127915231495,-10.8235176517714,-12.712789913345,-19.3179828500015,1.25822519479542,1.25235154053415,1.2506487868355,1.25229341042088,1.25809985630907,0.00851614825575985,0.0063084883006588,0.0057253993053465,0.00631714447662947,0.00852300116112686,175,175,175,175,175,-28.9240420335098,-28.9240419967531
7.5,0,0,-18.7544051867704,-11.7903305704731,-9.76913332922135,-11.7903284466095,-18.7544036992066,1.25773144646495,1.25153925704752,1.24971825025799,1.25147751534238,1.25759941829273,0.00906247688838091,0.0063743691046273,0.0057253993053465,0.00638610047012328,0.0090718087102541,187.5,187.5,187.5,187.5,187.5,-28.7874848627771,-28.7874848085699
8,0,0,-18.2067913810456,-10.8997080343678,-8.75187342160996,-10.8997061433348,-18.2067894858706,1.25725159457676,1.2507549863522,1.2488204725135,1.25068978628293,1.25711319899131,0.00955887659640823,0.00637491900221324,0.0057253993053465,0.00638704750923458,0.00957123039653067,200,200,200,200,200,-28.6451883345901,-28.6451882577
8.5,0,0,-17.6741320855339,-10.0394209011819,-7.77022000105512,-10.0394192189921,-17.6741297807932,1.25678475865393,1.2499974024726,1.2479541122463,1.24992889371244,1.25664030201206,0.0100030371537326,0.00637491900221324,0.0057253993053465,0.00638704750923458,0.0100190116320441,212.5,212.5,212.5,212.5,212.5,-28.4974490093072,-28.4974489044199
9,0,0,-17.155517628313,-9.20804837586479,-6.82267027068963,-9.20804679805235,-17.1555148927125,1.25633014617981,1.24926525335727,1.24711784217291,1.24919358171301,1.25617991977121,0.0103931320468645,0.00637491900221324,0.0057253993053465,0.00638704750923458,0.0104133810584804,225,225,225,225,225,-28.3445459012558,-28.344545762967
9.5,0,0,-16.6501237130924,-8.40423083516407,-5.90774994547138,-8.40422927973384,-16.6501205116846,1.25588703908594,1.24855734139805,1.24631036051918,1.24848264838981,1.25573131996125,0.0107277180620072,0.00637491900221324,0.0057253993053465,0.00638704750923458,0.0107529499256996,237.5,237.5,237.5,237.5,237.5,-28.1867420189456,-28.1867418415324
10,0,0,-16.1571984331524,-7.62666832434434,-5.02402119697092,-7.62666672476223,-16.157194721704,1.2554547824249,1.24787252188135,1.24553039793671,1.24779494436783,1.25529383414305,0.0110056542624567,0.00637491900221324,0.0057253993053465,0.00638704750923458,0.0110366309005196,250,250,250,250,250,-28.024285684864,-28.0242854621328
10.5,0,0,-15.6760518060721,-6.87411892707689,-4.17008823812,-6.87411722745992,-15.6760475340885,1.25503277524726,1.24720970146468,1.24477672237286,1.24712937141017,1.25486684856642,0.0112260364253374,0.00637491900221324,0.0057253993053465,0.00638704750923458,0.0112635723825249,262.5,262.5,262.5,262.5,262.5,-27.8574116744905,-27.8574113996772
11,0,0,-15.2060473027501,-6.14539694399201,-3.3446010806619,-6.14539509581368,-15.2060424155697,1.25462046321456,1.24656783650568,1.24404814234088,1.24648488085593,1.25444979673789,0.0113881437649298,0.00637491900221324,0.00572539930534649,0.00638704750923458,0.0114331051612358,275,275,275,275,275,-27.686342208281,-27.6863418739872
11.5,0,0,-14.7465949561658,-5.43937094870932,-2.54625788297773,-5.43936890854354,-14.7465893964067,1.25421733258857,1.24594593129801,1.2433435089559,1.24586047193871,1.25404215337124,0.0114913953999491,0.00637491900221324,0.00572539930532557,0.00638704750923458,0.0115446988780797,287.5,287.5,287.5,287.5,287.5,-27.5112878233874,-27.5112874215434
